field_x field_y field_ra field_dec index_x index_y index_ra index_dec index_id field_id match_weight FLUX BACKGROUND
49.614959716796875 35.057857513427734 186.4667197121916 -63.16934120160801 50.96804641952684 35.88941527330206 186.64975583885956 -63.09905588091754 1 1 0.9833122135888571 196.01184 0.1873169
211.2519073486328 19.446989059448242 211.0401031820771 -60.48707423254713 211.54242180322683 21.07735289163213 210.95601899723417 -60.37297837539882 0 2 0.9903545773505863 176.86642 0.17022705
428.3735656738281 146.06729125976562 224.51259605706164 -43.14587967556103 429.3986832186904 145.43345932709528 224.63313416782395 -43.133870296412724 23 4 0.9942106890123515 78.03632 0.38402557
302.0113525390625 250.43093872070312 207.5240255388091 -41.85297697931401 301.70973891009146 253.04906500345936 207.37623390591858 -41.68765831443399 24 5 0.972721163037339 58.492344 1.2716179
97.9227066040039 77.0705337524414 191.96596192689773 -59.620855599971314 97.4270971301028 76.20324513962478 191.93049538952653 -59.68873243892229 7 9 0.9895159330293007 167.5699 0.26216125
281.2330322265625 182.0084686279297 208.84878049474372 -47.21920207072187 281.1270776282403 181.03380356194154 208.8851453976371 -47.28826633486103 17 10 0.9969295838957408 93.43808 0.6476517
516.7781372070312 102.30610656738281 234.00631224656735 -41.118533175703234 514.6947207690101 103.47372600697683 233.78508250214958 -41.16667889513213 5 11 0.9838423920493994 63.808933 0.19875717
317.6630859375 236.27845764160156 209.63322525346123 -42.22555290290097 317.8922093805366 238.02189737007333 209.56784805477804 -42.10070693015179 47 12 0.9922039527824014 49.420784 1.1190834
435.6063537597656 225.860107421875 220.2577506513063 -38.04183005687709 439.51681067665356 227.11777459440117 220.49004720266666 -37.79342723271871 64 14 0.8919709699954858 32.84738 1.0012741
365.3102111816406 125.95354461669922 220.40688164314983 -47.332342396370926 365.4414224968332 124.94370471154883 220.4823910242061 -47.388141266363796 15 18 0.9961487910618048 88.2323 0.32457733
44.59748840332031 100.1786880493164 184.06789825658603 -58.67305677229207 42.33510748607614 99.37442465068818 183.7864794349577 -58.74890390212806 38 19 0.9809543041464217 78.82059 0.2867813
494.02655029296875 133.20602416992188 230.33690241121857 -40.63988853318703 494.02533177505217 133.07248037103912 230.34306667606194 -40.64746000372811 11 20 0.9925936089872278 53.024178 0.30088806
298.0034484863281 241.78131103515625 207.54506189495686 -42.578147112588645 297.4294128179844 243.63341348680785 207.40419250942048 -42.473684186143934 83 21 0.9901733127879818 48.561264 1.181984
129.25119018554688 219.482421875 191.18181146004562 -48.938964618434476 125.04406686131063 222.4166672279817 190.64814639733976 -48.81303887893174 75 22 0.8049926170450282 26.478312 0.9374542
391.2913818359375 189.586669921875 218.71194104327603 -42.22449221886316 393.11309731105354 189.3610253340664 218.87688163813473 -42.157745619562334 8 27 0.9915849619259289 85.13494 0.6802292
437.6181640625 155.44371032714844 224.6437403206671 -42.15323897581484 439.16852023118486 155.01502897725973 224.79040917911612 -42.10414445390415 82 28 0.9923654694267771 49.869843 0.43255615
302.17010498046875 206.16598510742188 209.66748342820918 -44.816765758960315 302.2953817467198 206.2872075611594 209.66987442845246 -44.80353417475753 54 29 0.9979439277146331 42.815323 0.83161163
121.09183502197266 108.29362487792969 193.8463682165939 -57.006579054156234 119.02189046216412 106.42349013528641 193.64856223068193 -57.17789139958374 56 30 0.9807695636284293 40.235428 0.32050323
179.70465087890625 590.620361328125 188.79240359559003 -23.69486867760213 177.94381892561682 596.6656591264712 188.5968077769271 -23.396636122987356 9 34 0.9077664882383971 15.289049 6.704113
217.66082763671875 124.35237121582031 205.02472429375837 -53.35007570000912 216.66752758588967 123.10770559540376 204.97196962350642 -53.466362682478064 81 36 0.9933043822524112 83.517784 0.3618698
460.8775634765625 91.24114227294922 230.84511360935278 -44.60922479849142 458.94865242315666 91.6225709499692 230.67036472348587 -44.68957279850686 18 37 0.9888684540093702 37.618294 0.20653534
56.233367919921875 187.9268341064453 183.80477540343483 -52.34004436329878 48.45716568694621 188.74222874733854 182.91312304566637 -52.36841805469236 41 38 0.36065045989395716 31.15 0.6588955
333.6856994628906 169.29046630859375 214.71411555007813 -45.99343430634419 334.30229937885457 167.8854333602258 214.85096609848134 -46.05808390458651 40 45 0.9940796712537655 45.454975 0.55449295
33.344139099121094 23.229679107666016 184.33192884201418 -64.11052701172353 35.3455904791179 24.60359319708016 184.60954333935985 -64.00304747361085 63 46 0.9777886154599318 27.734625 0.16658211
579.7347412109375 583.7484130859375 214.79658650307093 -13.335786606209343 579.2207610822653 583.311852004251 214.77750612359253 -13.37116276830414 21 50 0.9623610162444695 12.204667 9.20737
9.773670196533203 593.8115844726562 177.1651359170013 -26.75086684599873 10.170837053531955 593.640857581781 177.1879355737748 -26.749753614518355 46 51 0.9598272936189518 15.834278 5.490343
343.22344970703125 109.94982147216797 219.41288281437733 -49.328774553193426 342.9165639247186 108.6022528302806 219.47187499305335 -49.42575918430114 55 55 0.9948643163638496 24.920181 0.2849865
531.5885620117188 167.25149536132812 230.69612406514793 -36.94330706298377 533.1735529501094 167.39410608813955 230.7890108254242 -36.8584374946144 68 57 0.9879190986749213 19.374079 0.4578972
429.9478759765625 107.98145294189453 227.23490344961343 -45.26527491813395 429.6814993045788 107.97101048473165 227.21095529115715 -45.27979470131668 65 81 0.9951482489912847 16.6559 0.24737358
366.960205078125 295.1720886230469 211.19718896108913 -36.513045442742175 372.2292084247796 294.30046840839304 211.67207665637346 -36.368759720616005 2 224 0.4405304136318947 4.034467 1.8960009
